Id,Name,Month,Country,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered
396,COVID-19,2020-03-01,Bosnia and Herzegovina,420,13,17,420,13,17
397,COVID-19,2020-03-01,Botswana,4,1,0,4,1,0
398,COVID-19,2020-03-01,Brazil,5717,201,127,5715,201,127
399,COVID-19,2020-03-01,Brunei,129,1,45,129,1,45
400,COVID-19,2020-03-01,Bulgaria,399,8,17,399,8,17
401,COVID-19,2020-03-01,Burkina Faso,261,14,32,261,14,32
402,COVID-19,2020-03-01,Burma,15,1,0,15,1,0
403,COVID-19,2020-03-01,Burundi,2,0,0,2,0,0
404,COVID-19,2020-03-01,Cabo Verde,6,1,0,6,1,0
405,COVID-19,2020-03-01,Cambodia,109,0,23,108,0,22
406,COVID-19,2020-03-01,Cameroon,193,6,5,193,6,5
407,COVID-19,2020-03-01,Canada,8514,100,0,8494,100,0
408,COVID-19,2020-03-01,Central African Republic,3,0,0,3,0,0
409,COVID-19,2020-03-01,Chad,7,0,0,7,0,0
410,COVID-19,2020-03-01,Chile,2844,12,156,2842,12,156
411,COVID-19,2020-03-01,China,82279,3309,74645,2923,472,36777
412,COVID-19,2020-03-01,Colombia,906,16,31,906,16,31
413,COVID-19,2020-03-01,Comoros,0,0,0,0,0,0
414,COVID-19,2020-03-01,Congo (Brazzaville),19,0,0,19,0,0
415,COVID-19,2020-03-01,Congo (Kinshasa),98,8,2,98,8,2
416,COVID-19,2020-03-01,Costa Rica,347,2,4,347,2,4
417,COVID-19,2020-03-01,Cote d'Ivoire,179,1,7,179,1,7
418,COVID-19,2020-03-01,Croatia,867,6,67,861,6,67
