ID,Country/Region,Date,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered
424,Finland,2020-04-01,4995,211,3000,3577,194,2990
425,Finland,2020-05-01,6859,320,5500,1864,109,2500
426,Finland,2020-06-01,7214,328,6600,355,8,1100
427,Finland,2020-07-01,7398,329,6920,192,1,320
428,France,2020-01-01,5,0,0,5,0,0
429,France,2020-02-01,100,2,12,95,2,12
430,France,2020-03-01,52827,3532,9513,52727,3530,9501
431,France,2020-04-01,167299,24379,49476,119170,20847,39963
432,France,2020-05-01,189009,28805,68473,22095,4426,18997
433,France,2020-06-01,202063,29846,76399,14539,1041,7926
434,France,2020-07-01,220352,30212,81212,18289,366,4813
435,Gabon,2020-01-01,0,0,0,0,0,0
436,Gabon,2020-02-01,0,0,0,0,0,0
437,Gabon,2020-03-01,16,1,0,16,1,0
438,Gabon,2020-04-01,276,3,67,260,2,67
439,Gabon,2020-05-01,2655,17,722,2379,14,655
440,Gabon,2020-06-01,5394,42,2420,2739,25,1698
441,Gabon,2020-07-01,7189,49,4682,1795,7,2262
442,Gambia,2020-01-01,0,0,0,0,0,0
443,Gambia,2020-02-01,0,0,0,0,0,0
444,Gambia,2020-03-01,4,1,0,4,1,0
445,Gambia,2020-04-01,11,1,8,7,0,8
446,Gambia,2020-05-01,25,1,20,14,0,12
447,Gambia,2020-06-01,49,2,27,24,1,7
448,Gambia,2020-07-01,326,8,66,277,6,39
449,Georgia,2020-01-01,0,0,0,0,0,0
450,Georgia,2020-02-01,1,0,0,1,0,0
451,Georgia,2020-03-01,110,0,21,109,0,21
452,Georgia,2020-04-01,539,6,184,429,6,163
453,Georgia,2020-05-01,783,12,605,244,6,421
454,Georgia,2020-06-01,928,15,794,145,3,189
455,Georgia,2020-07-01,1137,16,922,209,1,128
456,Germany,2020-01-01,5,0,0,5,0,0
457,Germany,2020-02-01,79,0,16,74,0,16
458,Germany,2020-03-01,71808,775,16100,71729,775,16084
459,Germany,2020-04-01,163009,6623,123500,91201,5848,107400
460,Germany,2020-05-01,183410,8540,165352,20401,1917,41852
461,Germany,2020-06-01,195418,8990,178100,12008,450,12748
462,Germany,2020-07-01,207112,9125,190314,11694,135,12214
463,Ghana,2020-01-01,0,0,0,0,0,0
464,Ghana,2020-02-01,0,0,0,0,0,0
465,Ghana,2020-03-01,161,5,31,161,5,31
466,Ghana,2020-04-01,2074,17,212,1913,12,181
467,Ghana,2020-05-01,8070,36,2947,5996,19,2735
468,Ghana,2020-06-01,17741,112,13268,9671,76,10321
469,Ghana,2020-07-01,33624,168,29801,15883,56,16533
470,Greece,2020-01-01,0,0,0,0,0,0
471,Greece,2020-02-01,4,0,0,4,0,0
472,Greece,2020-03-01,1314,49,52,1310,49,52
473,Greece,2020-04-01,2591,140,1374,1277,91,1322
474,Greece,2020-05-01,2917,175,1374,326,35,0
475,Greece,2020-06-01,3409,192,1374,492,17,0
476,Greece,2020-07-01,4227,202,1374,818,10,0
477,Greenland,2020-01-01,0,0,0,0,0,0
478,Greenland,2020-02-01,0,0,0,0,0,0
479,Greenland,2020-03-01,10,0,2,10,0,2
480,Greenland,2020-04-01,11,0,11,1,0,9
481,Greenland,2020-05-01,13,0,11,2,0,0
482,Greenland,2020-06-01,13,0,13,0,0,2
483,Greenland,2020-07-01,14,0,13,1,0,0
484,Grenada,2020-01-01,0,0,0,0,0,0
485,Grenada,2020-02-01,0,0,0,0,0,0
486,Grenada,2020-03-01,9,0,0,9,0,0
487,Grenada,2020-04-01,20,0,13,11,0,13
488,Grenada,2020-05-01,23,0,18,3,0,5
489,Grenada,2020-06-01,23,0,23,0,0,5
