Id,Nom,Location,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
1,Coronavirus,Afghanistan,36263.0,1269.0,25198,9796,106.0,10.0,18
2,Monkeypox,Africa,1612.0,19.0,-1,-1,112.0,5.0,-1
3,Coronavirus,Albania,4880.0,144.0,2745,1991,117.0,6.0,63
4,Coronavirus,Algeria,27973.0,1163.0,18837,7973,616.0,8.0,749
5,Monkeypox,Andorra,4.0,0.0,-1,-1,2.0,0.0,-1
6,Coronavirus,Andorra,907.0,52.0,803,52,10.0,0.0,0
7,Coronavirus,Angola,950.0,41.0,242,667,18.0,1.0,0
8,Coronavirus,Antigua and Barbuda,86.0,3.0,65,18,4.0,0.0,5
9,Coronavirus,Argentina,167416.0,3059.0,72575,91782,4890.0,120.0,2057
10,Monkeypox,Argentina,1129.0,2.0,-1,-1,96.0,1.0,-1
11,Coronavirus,Armenia,37390.0,711.0,26665,10014,73.0,6.0,187
12,Monkeypox,Aruba,3.0,0.0,-1,-1,1.0,0.0,-1
13,Monkeypox,Asia,673.0,1.0,-1,-1,26.0,1.0,-1
14,Coronavirus,Australia,15303.0,167.0,9311,5825,368.0,6.0,137
15,Monkeypox,Australia,145.0,0.0,-1,-1,18.0,0.0,-1
16,Monkeypox,Austria,328.0,0.0,-1,-1,25.0,0.0,-1
17,Coronavirus,Austria,20558.0,713.0,18246,1599,86.0,1.0,37
18,Coronavirus,Azerbaijan,30446.0,423.0,23242,6781,396.0,6.0,558
19,Coronavirus,Bahamas,382.0,11.0,91,280,40.0,0.0,0
20,Monkeypox,Bahamas,2.0,0.0,-1,-1,1.0,0.0,-1
21,Monkeypox,Bahrain,2.0,0.0,-1,-1,1.0,0.0,-1
22,Coronavirus,Bahrain,39482.0,141.0,36110,3231,351.0,1.0,421
23,Coronavirus,Bangladesh,226225.0,2965.0,125683,97577,2772.0,37.0,1801
24,Monkeypox,Barbados,1.0,0.0,-1,-1,1.0,0.0,-1
25,Coronavirus,Barbados,110.0,7.0,94,9,0.0,0.0,0
26,Coronavirus,Belarus,67251.0,538.0,60492,6221,119.0,4.0,67
27,Monkeypox,Belgium,793.0,2.0,-1,-1,89.0,1.0,-1
28,Coronavirus,Belgium,66428.0,9822.0,17452,39154,402.0,1.0,14
29,Coronavirus,Belize,48.0,2.0,26,20,0.0,0.0,0
30,Coronavirus,Benin,1770.0,35.0,1036,699,0.0,0.0,0
31,Monkeypox,Benin,3.0,0.0,-1,-1,3.0,0.0,-1
32,Monkeypox,Bermuda,1.0,0.0,-1,-1,1.0,0.0,-1
33,Coronavirus,Bhutan,99.0,0.0,86,13,4.0,0.0,1
34,Coronavirus,Bolivia,71181.0,2647.0,21478,47056,1752.0,64.0,309
35,Monkeypox,Bolivia,265.0,0.0,-1,-1,16.0,0.0,-1
36,Monkeypox,Bosnia and Herzegovina,9.0,0.0,-1,-1,3.0,0.0,-1
37,Coronavirus,Bosnia and Herzegovina,10498.0,294.0,4930,5274,731.0,14.0,375
38,Coronavirus,Botswana,739.0,2.0,63,674,53.0,1.0,11
39,Monkeypox,Brazil,10920.0,16.0,-1,-1,410.0,2.0,-1
40,Coronavirus,Brazil,2442375.0,87618.0,1846641,508116,23284.0,614.0,33728
41,Coronavirus,Brunei,141.0,3.0,138,0,0.0,0.0,0
42,Monkeypox,Bulgaria,6.0,0.0,-1,-1,2.0,0.0,-1
43,Coronavirus,Bulgaria,10621.0,347.0,5585,4689,194.0,7.0,230
44,Coronavirus,Burkina Faso,1100.0,53.0,926,121,14.0,0.0,6
45,Coronavirus,Burma,350.0,6.0,292,52,0.0,0.0,2
46,Coronavirus,Burundi,378.0,1.0,301,76,17.0,0.0,22
47,Coronavirus,Cabo Verde,2328.0,22.0,1550,756,21.0,0.0,103
48,Coronavirus,Cambodia,226.0,0.0,147,79,1.0,0.0,4
49,Monkeypox,Cameroon,18.0,3.0,-1,-1,4.0,2.0,-1
50,Coronavirus,Cameroon,17110.0,391.0,14539,2180,402.0,6.0,0
51,Coronavirus,Canada,116458.0,8944.0,0,107514,682.0,11.0,0
52,Monkeypox,Canada,1484.0,0.0,-1,-1,102.0,0.0,-1
53,Monkeypox,Central African Republic,28.0,1.0,-1,-1,3.0,1.0,-1
54,Coronavirus,Central African Republic,4599.0,59.0,1546,2994,0.0,0.0,0
55,Coronavirus,Chad,922.0,75.0,810,37,7.0,0.0,0
56,Monkeypox,Chile,1441.0,2.0,-1,-1,111.0,1.0,-1
57,Coronavirus,Chile,347923.0,9187.0,319954,18782,2133.0,75.0,1859
58,Monkeypox,China,71.0,0.0,-1,-1,15.0,0.0,-1
59,Coronavirus,China,86783.0,4656.0,78869,3258,213.0,4.0,7
60,Coronavirus,Colombia,257101.0,8777.0,131161,117163,16306.0,508.0,11494
61,Monkeypox,Colombia,4090.0,0.0,-1,-1,411.0,0.0,-1
62,Coronavirus,Comoros,354.0,7.0,328,19,0.0,0.0,0
63,Monkeypox,Congo,5.0,0.0,-1,-1,2.0,0.0,-1
64,Coronavirus,Congo (Brazzaville),3200.0,54.0,829,2317,162.0,3.0,73
65,Coronavirus,Congo (Kinshasa),8844.0,208.0,5700,2936,13.0,4.0,190
66,Monkeypox,Costa Rica,221.0,0.0,-1,-1,49.0,0.0,-1
67,Coronavirus,Costa Rica,15841.0,115.0,3824,11902,612.0,11.0,88
68,Coronavirus,Cote d'Ivoire,15655.0,96.0,10361,5198,59.0,0.0,183
69,Monkeypox,Croatia,33.0,0.0,-1,-1,5.0,0.0,-1
70,Coronavirus,Croatia,4881.0,139.0,3936,806,24.0,3.0,70
71,Monkeypox,Cuba,8.0,1.0,-1,-1,4.0,1.0,-1
72,Coronavirus,Cuba,2532.0,87.0,2351,94,37.0,0.0,2
73,Monkeypox,Curacao,3.0,0.0,-1,-1,1.0,0.0,-1
74,Monkeypox,Cyprus,5.0,0.0,-1,-1,2.0,0.0,-1
75,Coronavirus,Cyprus,1060.0,19.0,852,189,3.0,0.0,0
76,Monkeypox,Czechia,71.0,1.0,-1,-1,6.0,1.0,-1
77,Coronavirus,Czechia,15516.0,373.0,11428,3715,192.0,2.0,0
